strategy,symbol,direction,opened_at,closed_at,entry_price,exit_price,qty,notional,stop_price,risk_amount,leverage,margin,fee,slippage_cost,funding,pnl,exit_reason,signal_reason,notes
vwap_clone,ETH-USDT-SWAP,long,2026-09-16T02:15:00+00:00,2026-09-16T02:30:00+00:00,2393.646225,2401.776082,0.8747541387,2093.851942,2387.425328,5.441755311,10,209.3851942,2.30714853,2.097410057,0,4.804477149,partial,"VWAP sapma-dönüş (kaynak kuralları): kümülatif VWAP=2477.07 (300 bar), σ=5.03467; bu bar -16.97σ ile bandın dışında kapandı ve kapanış long yönünde döndü; stop 2×0.5σ (2387.43), hedef VWAP mesafesinin %50'i (2434.77); yönetim: breakeven 1R, kısmi %50 @ 1.5R, takip geri verme %50 | arm=vwap_revert_src | combo=band1_tp0 | combo_r=-0.9838 | combo_n=11 | pick=explore",
vwap_clone,ETH-USDT-SWAP,long,2026-09-16T02:15:00+00:00,2026-09-16T02:45:00+00:00,2393.646225,2401.776082,0.8747541387,2093.851942,2387.425328,5.441755311,10,209.3851942,2.30714853,2.097410057,0,4.804477149,stop,"VWAP sapma-dönüş (kaynak kuralları): kümülatif VWAP=2477.07 (300 bar), σ=5.03467; bu bar -16.97σ ile bandın dışında kapandı ve kapanış long yönünde döndü; stop 2×0.5σ (2387.43), hedef VWAP mesafesinin %50'i (2434.77); yönetim: breakeven 1R, kısmi %50 @ 1.5R, takip geri verme %50 | arm=vwap_revert_src | combo=band1_tp0 | combo_r=-0.9838 | combo_n=11 | pick=explore",exit_rule=partial
vwap_clone,ETH-USDT-SWAP,long,2026-09-16T03:15:00+00:00,2026-09-16T03:30:00+00:00,2406.772785,2399.58654,1.754773503,4223.341111,2400.786933,10.50381413,10,422.3341111,4.638739594,4.217033896,0,-17.24897237,stop,"VWAP sapma-dönüş (kaynak kuralları): kümülatif VWAP=2476.41 (300 bar), σ=4.77307; bu bar -15.23σ ile bandın dışında kapandı ve kapanış long yönünde döndü; stop 2×0.5σ (2400.79), hedef VWAP mesafesinin %50'i (2440.99); yönetim: breakeven 1R, kısmi %50 @ 1.5R, takip geri verme %50 | arm=vwap_revert_src | combo=band1_tp0 | combo_r=0.4109 | combo_n=3 | pick=exploit",
vwap_clone,SOL-USDT-SWAP,long,2026-09-16T04:00:00+00:00,2026-09-16T04:30:00+00:00,97.2486,97.1999757,43.33026178,4213.807296,96.94510685,13.15043777,10,421.3807296,4.634029229,4.212754371,0,-6.740932877,stop,"VWAP sapma-dönüş (kaynak kuralları): kümülatif VWAP=100.382 (300 bar), σ=0.244893; bu bar -13.24σ ile bandın dışında kapandı ve kapanış long yönünde döndü; stop 2×0.5σ (96.9451), hedef VWAP mesafesinin %75'i (99.5836); yönetim: breakeven 1R, kısmi %50 @ 1.5R, takip geri verme %50 | arm=vwap_revert_src | combo=band1_tp1 | combo_r=0.3463 | combo_n=3 | pick=explore",exit_rule=breakeven
vwap_clone,ETH-USDT-SWAP,long,2026-09-16T04:45:00+00:00,2026-09-16T05:00:00+00:00,2405.94237,2399.316757,1.756407577,4225.81541,2400.517016,9.529133368,10,422.581541,4.641996448,4.219994917,0,-16.27927295,stop,"VWAP sapma-dönüş (kaynak kuralları): kümülatif VWAP=2475.71 (300 bar), σ=4.21298; bu bar -16.81σ ile bandın dışında kapandı ve kapanış long yönünde döndü; stop 2×0.5σ (2400.52), hedef VWAP mesafesinin %50'i (2440.22); yönetim: breakeven 1R, kısmi %50 @ 1.5R, takip geri verme %50 | arm=vwap_revert_src | combo=band1_tp0 | combo_r=-0.1024 | combo_n=4 | pick=exploit",
vwap_clone,AVAX-USDT-SWAP,long,2026-09-16T05:15:00+00:00,2026-09-16T06:30:00+00:00,7.32366,7.280889374,573.6069234,4200.902081,7.28453164,22.44429834,10,420.0902081,4.607498849,4.188630231,0,-29.14102608,stop,"VWAP sapma-dönüş (kaynak kuralları): kümülatif VWAP=7.42721 (300 bar), σ=0.0364684; bu bar -3.15σ ile bandın dışında kapandı ve kapanış long yönünde döndü; stop 2×0.5σ (7.28453), hedef VWAP mesafesinin %75'i (7.40066); yönetim: breakeven 1R, kısmi %50 @ 1.5R, takip geri verme %50 | arm=vwap_revert_src | combo=band1_tp1 | combo_r=1.029 | combo_n=4 | pick=exploit",
vwap_clone,BTC-USDT-SWAP,long,2026-09-15T22:30:00+00:00,2026-09-16T08:00:00+00:00,75502.63245,75464.88113,0.05564689209,4201.48684,74944.39201,31.06434577,10,420.148684,4.620480116,4.200436994,-0.3441822937,-7.06540583,stop,"VWAP sapma-dönüş (kaynak kuralları): kümülatif VWAP=77137.2 (300 bar), σ=416.406; bu bar -4.25σ ile bandın dışında kapandı ve kapanış long yönünde döndü; stop 2.5×0.5σ (74944.4), hedef VWAP mesafesinin %50'i (76301); yönetim: breakeven 1R, kısmi %50 @ 1.5R, takip geri verme %50 | arm=vwap_revert_src | combo=band2_tp0 | combo_r=-0.05257 | combo_n=4 | pick=exploit",exit_rule=breakeven
vwap_clone,ADA-USDT-SWAP,long,2026-09-16T06:45:00+00:00,2026-09-16T08:00:00+00:00,0.1948974,0.193495082,21476.28803,4185.672699,0.1935918779,28.03776867,10,418.5672699,4.587675847,4.17060792,0.02973779278,-34.67452419,stop,"VWAP sapma-dönüş (kaynak kuralları): kümülatif VWAP=0.203961 (300 bar), σ=0.0010465; bu bar -8.98σ ile bandın dışında kapandı ve kapanış long yönünde döndü; stop 2.5×0.5σ (0.193592), hedef VWAP mesafesinin %50'i (0.199431); yönetim: breakeven 1R, kısmi %50 @ 1.5R, takip geri verme %50 | arm=vwap_revert_src | combo=band2_tp0 | combo_r=-0.3299 | combo_n=18 | pick=unexplored",
vwap_clone,ETH-USDT-SWAP,long,2026-09-16T08:30:00+00:00,2026-09-16T08:45:00+00:00,2389.01391,2397.843521,0.8640503296,2064.228256,2382.327822,5.777116773,10,206.4228256,2.274847157,2.068045295,0,5.354381036,partial,"VWAP sapma-dönüş (kaynak kuralları): kümülatif VWAP=2472.85 (300 bar), σ=4.40174; bu bar -19.25σ ile bandın dışında kapandı ve kapanış long yönünde döndü; stop 2.5×0.5σ (2382.33), hedef VWAP mesafesinin %100'i (2472.85); yönetim: breakeven 1R, kısmi %50 @ 1.5R, takip geri verme %50 | arm=vwap_revert_src | combo=band2_tp2 | combo_r=-0.3757 | combo_n=18 | pick=exploit",
vwap_clone,ETH-USDT-SWAP,long,2026-09-16T08:30:00+00:00,2026-09-16T09:15:00+00:00,2389.01391,2397.843521,0.8640503296,2064.228256,2382.327822,5.777116773,10,206.4228256,2.274847157,2.068045295,0,5.354381036,stop,"VWAP sapma-dönüş (kaynak kuralları): kümülatif VWAP=2472.85 (300 bar), σ=4.40174; bu bar -19.25σ ile bandın dışında kapandı ve kapanış long yönünde döndü; stop 2.5×0.5σ (2382.33), hedef VWAP mesafesinin %100'i (2472.85); yönetim: breakeven 1R, kısmi %50 @ 1.5R, takip geri verme %50 | arm=vwap_revert_src | combo=band2_tp2 | combo_r=-0.3757 | combo_n=18 | pick=exploit",exit_rule=partial
vwap_clone,ETHFI-USDT-SWAP,long,2026-09-16T08:30:00+00:00,2026-09-16T10:15:00+00:00,0.5828913,0.5870706697,3539.501781,2063.144794,0.5799092654,10.55491672,10,206.3144794,2.277595361,2.070545453,0,12.51529114,partial,"VWAP sapma-dönüş (kaynak kuralları): kümülatif VWAP=0.636719 (300 bar), σ=0.00207259; bu bar -26.37σ ile bandın dışında kapandı ve kapanış long yönünde döndü; stop 2.5×0.5σ (0.579909), hedef VWAP mesafesinin %100'i (0.636719); yönetim: breakeven 1R, kısmi %50 @ 1.5R, takip geri verme %50 | arm=vwap_revert_src | combo=band2_tp2 | combo_r=-0.3234 | combo_n=6 | pick=exploit",
vwap_clone,BTC-USDT-SWAP,long,2026-09-16T09:30:00+00:00,2026-09-16T11:30:00+00:00,75829.99605,76059.50998,0.02733117755,2072.523086,75651.62091,4.875202648,10,207.2523086,2.283225482,2.075661616,0,3.989660546,partial,"VWAP sapma-dönüş (kaynak kuralları): kümülatif VWAP=77017.1 (300 bar), σ=140.379; bu bar -8.79σ ile bandın dışında kapandı ve kapanış long yönünde döndü; stop 2×0.5σ (75651.6), hedef VWAP mesafesinin %75'i (76710.9); yönetim: breakeven 1R, kısmi %50 @ 1.5R, takip geri verme %50 | arm=vwap_revert_src | combo=band1_tp1 | combo_r=-0.08732 | combo_n=3 | pick=exploit",
vwap_clone,ETHFI-USDT-SWAP,long,2026-09-16T08:30:00+00:00,2026-09-16T12:00:00+00:00,0.5828913,0.5923993022,3539.501781,2063.144794,0.5799092654,10.55491672,10,206.3144794,2.287968749,2.079980523,0,31.36562188,stop,"VWAP sapma-dönüş (kaynak kuralları): kümülatif VWAP=0.636719 (300 bar), σ=0.00207259; bu bar -26.37σ ile bandın dışında kapandı ve kapanış long yönünde döndü; stop 2.5×0.5σ (0.579909), hedef VWAP mesafesinin %100'i (0.636719); yönetim: breakeven 1R, kısmi %50 @ 1.5R, takip geri verme %50 | arm=vwap_revert_src | combo=band2_tp2 | combo_r=-0.3234 | combo_n=6 | pick=exploit",exit_rule=giveback
vwap_clone,BTC-USDT-SWAP,long,2026-09-16T09:30:00+00:00,2026-09-16T12:00:00+00:00,75829.99605,76059.50998,0.02733117755,2072.523086,75651.62091,4.875202648,10,207.2523086,2.283225482,2.075661616,0,3.989660546,stop,"VWAP sapma-dönüş (kaynak kuralları): kümülatif VWAP=77017.1 (300 bar), σ=140.379; bu bar -8.79σ ile bandın dışında kapandı ve kapanış long yönünde döndü; stop 2×0.5σ (75651.6), hedef VWAP mesafesinin %75'i (76710.9); yönetim: breakeven 1R, kısmi %50 @ 1.5R, takip geri verme %50 | arm=vwap_revert_src | combo=band1_tp1 | combo_r=-0.08732 | combo_n=3 | pick=exploit",exit_rule=partial
vwap_clone,BTC-USDT-SWAP,long,2026-09-16T12:45:00+00:00,2026-09-16T13:00:00+00:00,75955.05855,75610.90558,0.05485020736,4166.150712,75648.72995,16.80218732,10,416.6150712,4.572383509,4.156708601,0,-23.44924509,stop,"VWAP sapma-dönüş (kaynak kuralları): kümülatif VWAP=76994.5 (300 bar), σ=214.696; bu bar -5.16σ ile bandın dışında kapandı ve kapanış long yönünde döndü; stop 2.5×0.5σ (75648.7), hedef VWAP mesafesinin %100'i (76994.5); yönetim: breakeven 1R, kısmi %50 @ 1.5R, takip geri verme %50 | arm=vwap_revert_src | combo=band2_tp2 | combo_r=-0.03413 | combo_n=22 | pick=explore",
