source,period,model,week_start,n_opened,long_share,short_share,btc_week_ret,model_week_ret,avg_r
xsec,A,xsec_mom,2022-07-18,3,1.0,0.0,0.08579601451888164,0.025858852670994414,1.3491075952096285
xsec,A,xsec_mom,2022-07-25,1,1.0,0.0,0.03164918463943045,-0.007576069448760325,-1.008232756811692
xsec,A,xsec_mom,2022-08-01,1,1.0,0.0,-0.005218906518912214,0.015724586234716842,-0.3877724093788066
xsec,A,xsec_mom,2022-08-08,1,1.0,0.0,0.04864032306079391,0.011861731245740081,-1.0096002162849653
xsec,A,xsec_mom,2022-08-15,1,1.0,0.0,-0.1148002320443352,-0.03940370485348166,-1.0141296404253137
xsec,A,xsec_mom,2022-08-22,3,1.0,0.0,-0.09097669576210532,-0.024950644110628195,-0.7830565268792024
xsec,A,xsec_mom,2022-08-29,2,1.0,0.0,0.022783515696901402,0.007090292231834772,1.222843177093551
xsec,A,xsec_mom,2022-09-05,1,1.0,0.0,0.0913285608590455,0.01989810459509611,-1.0119942597739915
xsec,A,xsec_mom,2022-09-12,2,1.0,0.0,-0.11054258949634688,-0.03132903486785321,-1.0109450441397398
xsec,A,xsec_mom,2022-09-19,3,1.0,0.0,-0.031173232117750582,0.018995768446975037,0.2559419187473102
xsec,A,xsec_mom,2022-09-26,1,1.0,0.0,0.012981075908994333,-0.012789528490670277,-1.0105905644305695
xsec,A,xsec_mom,2022-10-03,1,1.0,0.0,0.02026637000031495,0.017547093536032232,-0.09925516470088037
xsec,A,xsec_mom,2022-10-10,0,,,-0.009314693659219109,-0.024248184325516453,
xsec,A,xsec_mom,2022-10-17,2,1.0,0.0,0.016094448453634946,0.010159642570758853,0.379947137773902
xsec,A,xsec_mom,2022-10-24,0,,,0.05386458743159639,0.04181492006128362,
xsec,A,xsec_mom,2022-10-31,2,1.0,0.0,0.013808150105451888,-0.003667326047118058,-0.7761527862719786
xsec,A,xsec_mom,2022-11-07,0,,,-0.21882038995136366,-0.05585201885043045,
xsec,A,xsec_mom,2022-11-14,2,1.0,0.0,-0.0027793592781013565,-0.009807790071807543,-0.4361741276036123
xsec,A,xsec_mom,2022-11-21,2,1.0,0.0,0.00845340192641797,-0.0015218861983540277,-0.27884976884328855
xsec,A,xsec_mom,2022-11-28,2,1.0,0.0,0.04129786327387852,0.006851812994421058,-1.008849441998334
xsec,A,xsec_mom,2022-12-05,0,,,-0.0010815298092999859,-0.01579326487260957,
xsec,A,xsec_mom,2022-12-12,1,1.0,0.0,-0.020594724613592907,-0.025716770215024276,-1.034278708167065
xsec,A,xsec_mom,2022-12-19,3,1.0,0.0,0.00596354944726607,0.0037615406847888444,0.5834633106989066
