source,period,model,symbol,direction,opened_at,closed_at,r,pnl,coin_ret,btc_ret,aligned_btc,aligned_coin
live-scalp,live,vwap_clone,SOL-USDT-SWAP,short,2026-09-19T09:15:00+00:00,2026-09-19T10:30:00+00:00,-0.5121768291553925,-7.883357978,0.0008939746111209512,-0.0017853939294149024,aligned,misaligned
live-scalp,live,vwap_clone,BTC-USDT-SWAP,short,2026-09-19T10:45:00+00:00,2026-09-19T11:00:00+00:00,-2.4109177911124617,-13.33135534,0.0010294679030133924,0.0010294679030133924,misaligned,misaligned
live-scalp,live,vwap_clone,ETH-USDT-SWAP,short,2026-09-19T10:45:00+00:00,2026-09-19T14:15:00+00:00,-0.6581391293240978,-7.786347286,0.001918454317280549,0.0042853448594333265,misaligned,misaligned
live-scalp,live,vwap_clone,SOL-USDT-SWAP,short,2026-09-19T10:45:00+00:00,2026-09-19T11:00:00+00:00,-1.0980087011090958,-7.78225848,0.0010751724755846404,0.0010294679030133924,misaligned,misaligned
live-scalp,live,vwap_clone,LINK-USDT-SWAP,short,2026-09-19T11:15:00+00:00,2026-09-19T11:45:00+00:00,-1.5408815196045174,-22.21342067,0.0012791813239527716,0.0005206064141665134,misaligned,misaligned
live-scalp,live,vwap_clone,BTC-USDT-SWAP,short,2026-09-19T11:30:00+00:00,2026-09-19T12:00:00+00:00,-2.6142675746311776,-12.5799745,0.0007296342231670749,0.0007296342231670749,misaligned,misaligned
live-scalp,live,vwap_clone,SOL-USDT-SWAP,short,2026-09-19T12:00:00+00:00,2026-09-19T13:15:00+00:00,0.4637093158579334,3.5428919561,-0.0038461538461538325,-0.0014864833296241997,aligned,aligned
live-scalp,live,vwap_clone,XRP-USDT-SWAP,short,2026-09-19T12:15:00+00:00,2026-09-19T13:00:00+00:00,-1.5597806451269536,-21.57589985,0.010145535964175778,9.235088410575187e-05,misaligned,misaligned
live-scalp,live,vwap_clone,BTC-USDT-SWAP,short,2026-09-19T13:15:00+00:00,2026-09-19T13:15:00+00:00,-2.8457797605794704,-11.89132103,0.0,0.0,neutral,neutral
live-scalp,live,vwap_clone,BTC-USDT-SWAP,short,2026-09-19T13:30:00+00:00,2026-09-19T13:45:00+00:00,-3.0961293222265436,-11.36826634,0.0009526329716855741,0.0009526329716855741,misaligned,misaligned
live-scalp,live,vwap_clone,SOL-USDT-SWAP,short,2026-09-19T13:30:00+00:00,2026-09-19T14:00:00+00:00,-1.7283912030824433,-18.28697391,0.0006278026905828238,0.0013784869874520211,misaligned,misaligned
live-scalp,live,vwap_clone,AVAX-USDT-SWAP,short,2026-09-19T14:00:00+00:00,2026-09-19T14:15:00+00:00,-0.25979713471062355,-7.656221204,0.012457044673539697,0.0023905949447213803,misaligned,misaligned
live-scalp,live,vwap_clone,SOL-USDT-SWAP,short,2026-09-19T14:15:00+00:00,2026-09-19T14:15:00+00:00,-2.063267317355597,-14.90757083,0.0,0.0,neutral,neutral
live-scalp,live,vwap_clone,BTC-USDT-SWAP,short,2026-09-19T14:45:00+00:00,2026-09-19T14:45:00+00:00,-3.3394271449007626,-10.8593064,0.0,0.0,neutral,neutral
live-scalp,live,vwap_clone,ETH-USDT-SWAP,short,2026-09-19T14:45:00+00:00,2026-09-19T15:00:00+00:00,-2.3378073302065716,-13.29572589,0.0014029180695847021,0.0015524732271943176,misaligned,misaligned
live-scalp,live,vwap_clone,SOL-USDT-SWAP,short,2026-09-19T14:45:00+00:00,2026-09-19T15:00:00+00:00,-1.9444873539155867,-15.66590643,0.0012527964205817366,0.0015524732271943176,misaligned,misaligned
live-scalp,live,vwap_clone,XRP-USDT-SWAP,short,2026-09-19T15:00:00+00:00,2026-09-19T15:30:00+00:00,-0.47358947884120844,-7.580895296,0.001115137998327187,0.002478147853843149,misaligned,misaligned
live-scalp,live,vwap_clone,BNB-USDT-SWAP,short,2026-09-19T15:15:00+00:00,2026-09-19T16:15:00+00:00,0.5155256557271157,4.81607403753,-0.0009126466753586193,0.0029984731701035994,misaligned,aligned
live-scalp,live,vwap_clone,DOGE-USDT-SWAP,short,2026-09-19T15:15:00+00:00,2026-09-19T16:00:00+00:00,-1.5249331163739903,-21.16537104,0.010172939979654183,0.002310479939662491,misaligned,misaligned
live-scalp,live,vwap_clone,BTC-USDT-SWAP,short,2026-09-19T16:00:00+00:00,2026-09-19T16:15:00+00:00,-1.97478239617278,-15.31168132,0.0006864073001435766,0.0006864073001435766,misaligned,misaligned
live-scalp,live,vwap_clone,NEAR-USDT-SWAP,short,2026-09-19T16:15:00+00:00,2026-09-19T17:15:00+00:00,-1.2245548608320307,-41.34591814,0.017867113344500307,-0.0034174553101997684,aligned,misaligned
