bar,symbol,ts,open,close
4H,XRP-USDT-SWAP,2024-01-12T20:00:00+00:00,0.58,0.5696
4H,XRP-USDT-SWAP,2024-01-13T00:00:00+00:00,0.5696,0.5717
4H,XRP-USDT-SWAP,2024-01-14T04:00:00+00:00,0.5739,0.5756
4H,XRP-USDT-SWAP,2024-01-14T16:00:00+00:00,0.5775,0.5767
4H,XRP-USDT-SWAP,2024-01-14T20:00:00+00:00,0.5767,0.5763
4H,XRP-USDT-SWAP,2024-01-15T00:00:00+00:00,0.5764,0.586
4H,XRP-USDT-SWAP,2024-01-15T08:00:00+00:00,0.5776,0.5789
4H,XRP-USDT-SWAP,2024-01-16T20:00:00+00:00,0.5783,0.5757
4H,XRP-USDT-SWAP,2024-01-17T04:00:00+00:00,0.5747,0.5719
4H,XRP-USDT-SWAP,2024-01-17T16:00:00+00:00,0.5689,0.5712
4H,XRP-USDT-SWAP,2024-01-18T16:00:00+00:00,0.5622,0.5466
4H,XRP-USDT-SWAP,2024-01-19T16:00:00+00:00,0.5388,0.5458
4H,XRP-USDT-SWAP,2024-01-19T20:00:00+00:00,0.5457,0.5443
4H,XRP-USDT-SWAP,2024-01-27T08:00:00+00:00,0.5286,0.5298
4H,XRP-USDT-SWAP,2024-01-28T16:00:00+00:00,0.5296,0.5238
4H,XRP-USDT-SWAP,2024-01-29T00:00:00+00:00,0.5241,0.5284
4H,XRP-USDT-SWAP,2024-01-29T12:00:00+00:00,0.526,0.5275
4H,XRP-USDT-SWAP,2024-01-29T16:00:00+00:00,0.5275,0.5355
4H,XRP-USDT-SWAP,2024-01-30T08:00:00+00:00,0.5342,0.5338
4H,XRP-USDT-SWAP,2024-01-30T16:00:00+00:00,0.5259,0.5142
4H,XRP-USDT-SWAP,2024-01-30T20:00:00+00:00,0.5143,0.5107
4H,XRP-USDT-SWAP,2024-01-31T04:00:00+00:00,0.5105,0.511
4H,XRP-USDT-SWAP,2024-01-31T08:00:00+00:00,0.511,0.5071
4H,XRP-USDT-SWAP,2024-01-31T12:00:00+00:00,0.507,0.5084
4H,XRP-USDT-SWAP,2024-02-05T00:00:00+00:00,0.5031,0.5058
4H,XRP-USDT-SWAP,2024-02-12T00:00:00+00:00,0.5263,0.5232
