period,symbol,model,first_bar,last_bar,bars,years,trades,win_rate_pct,profit_factor,avg_r,avg_win_pct,avg_loss_pct,payoff,max_drawdown_pct,account_max_drawdown_pct,total_return_pct,buy_hold_pct,cost_pct,cost_per_r,fees,slippage_cost,funding,avg_stop_distance_pct,median_hold_bars,max_hold_bars
A,BNB-USDT-SWAP,ema_trend,2022-12-23T04:00:00+00:00,2024-12-30T20:00:00+00:00,4433,2.02,27,44.44444444444444,1.4017125271306528,0.24227569850739686,4.637777158816481,-2.2906738813043064,2.0246344085329757,-5.750694559000001,-5.977319125192837,6.43756590000002,nan,0.17051483115124885,0.08975031617072407,212.766299671,28.368848808700005,0.0,2.2596268221545595,10.0,129.0
A,BNB-USDT-SWAP,trend,2022-12-23T04:00:00+00:00,2024-12-30T20:00:00+00:00,4433,2.02,94,38.297872340425535,0.8233470345612942,-0.04447855734314464,1.8436532491092865,-1.2360474267245887,1.4915716090237712,-9.587064426659998,-9.809677009648299,-4.2784749600000005,nan,0.23636729813257423,0.0902470734011152,510.42239790300005,292.4826493127001,0.0,3.201046407410577,1.0,8.0
A,AVAX-USDT-SWAP,ema_trend,2022-01-01T04:00:00+00:00,2024-12-30T20:00:00+00:00,6569,3.0,32,31.25,0.8439550559576456,-0.11169161371617584,8.204128125907767,-4.442111768546144,1.8468981766734993,-11.298365131999999,-11.203312053733772,-3.8044623800000066,-67.21846159452639,0.1697510409768565,0.04467795531374918,128.726482565,17.1635286638,0.0,4.26853521268151,10.0,41.0
A,AVAX-USDT-SWAP,trend,2022-01-01T04:00:00+00:00,2024-12-30T20:00:00+00:00,6569,3.0,171,42.10526315789473,1.1796116964859529,0.03758185566295172,3.360053969152084,-2.158325657781256,1.5567872980791029,-5.272930242013999,-5.262762059292858,6.2646897999999895,-67.21846159452639,0.2628291992897983,0.051896592715548515,528.3532879027001,396.46540519120003,0.0,6.235939028974967,1.0,13.0
A,LINK-USDT-SWAP,ema_trend,2022-01-01T04:00:00+00:00,2024-12-30T20:00:00+00:00,6569,3.0,47,34.04255319148936,0.9531175976705853,-0.03239793758846339,6.896084817007943,-3.846575404025997,1.7927855540775812,-12.194547544399997,-12.125943607664357,-1.9701553400000016,4.097324093277366,0.17000723643039367,0.051857669594799226,208.86921195799997,27.849228657099992,0.0,3.6425173844497576,5.0,54.0
A,LINK-USDT-SWAP,trend,2022-01-01T04:00:00+00:00,2024-12-30T20:00:00+00:00,6569,3.0,163,34.96932515337423,0.8761169917541362,-0.028732929507949714,2.863737779253356,-2.1024082604991055,1.362122587253112,-10.839708007233002,-11.009299545651263,-4.954769539999992,4.097324093277366,0.2403248321067919,0.04759843236370872,462.68708819990013,278.08824184900004,0.0,6.011141199660093,1.0,11.0
A,ADA-USDT-SWAP,ema_trend,2022-01-01T04:00:00+00:00,2024-12-30T20:00:00+00:00,6569,3.0,35,40.0,1.2200723698604579,0.13919721054339007,6.4831546452976685,-3.4964790210585166,1.854195207879432,-5.962929069000002,-5.570315051257834,4.59970890000001,-34.96229534183291,0.17044576418188814,0.057401866682431316,184.949824684,24.659983320699993,0.0,3.3446799960677596,9.0,72.0
A,ADA-USDT-SWAP,trend,2022-01-01T04:00:00+00:00,2024-12-30T20:00:00+00:00,6569,3.0,168,39.285714285714285,0.9400151351489323,-0.012468609524296374,2.311007775724012,-1.7343665298531068,1.332479459183143,-6.260042597676,-6.103085485952386,-2.3740625200000087,-34.96229534183291,0.26146558653026675,0.061560479502896656,592.8309414820003,440.0331007315999,0.0,5.223854150516705,1.0,9.0
A,SUI-USDT-SWAP,ema_trend,2023-05-05T00:00:00+00:00,2024-12-30T20:00:00+00:00,3636,1.66,21,23.809523809523807,0.5918472722776065,-0.3202689244054676,8.739559884823427,-6.129751266166659,1.4257609330841339,-8.9920893979,-8.942653674020384,-6.672009379999999,nan,0.16878701982390934,0.035231054742716775,63.051582581,8.4068717202,0.0,5.61498632577559,4.0,14.0
A,SUI-USDT-SWAP,trend,2023-05-05T00:00:00+00:00,2024-12-30T20:00:00+00:00,3636,1.66,68,44.11764705882353,1.5101183286919038,0.08962711715949274,3.573519216886778,-2.332100348543346,1.5323179464034793,-3.0735873482,-2.957795503705918,6.144663699999997,nan,0.25417498956573154,0.04059439161135117,169.62413922399992,118.74052988930003,0.0,7.172887386708877,1.0,5.0
